Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,a41328B3cf1B1A0,"Bullock, Ryan and Pitts",http://www.quinn-cordova.com/,Turkmenistan,Open-source fault-tolerant projection,1994,Wireless,7130
2,2f17e29B8cAabD2,Gay-Huber,http://www.mcdaniel.com/,Nicaragua,Persistent solution-oriented product,2010,Wireless,452
3,8CC891dc70F6a80,Bryan Group,http://carlson.com/,Cote d'Ivoire,Networked well-modulated leverage,2018,Publishing Industry,1377
4,552Dd2DaCEf0C8c,Delacruz-Davila,http://harding.biz/,Armenia,Open-architected dynamic utilization,2007,Cosmetics,378
5,B7F00C54A1aF6ee,"Doyle, Benitez and Hurst",http://craig-best.com/,Papua New Guinea,Synergized didactic process improvement,1985,Hospital / Health Care,8562
6,e1ce33F3c2576e2,Watkins-Garrett,https://rhodes.com/,Saint Lucia,Synergized even-keeled hub,1983,Government Relations,7639
7,878faE2d60Fd602,Nunez Ltd,https://blake.biz/,Central African Republic,Stand-alone multimedia knowledge user,2018,Education Management,1643
8,EEC9BC6330ADBeC,Moses Ltd,http://becker-zuniga.com/,Netherlands,Front-line executive hub,1999,Textiles,6369
9,e45f3292BFB3aA9,Cortez PLC,https://www.morton.com/,United Arab Emirates,Business-focused didactic neural-net,2011,Government Relations,4590
10,c7BbA48Edd15cD7,Bruce-Gilbert,https://zamora-stanley.biz/,Congo,Secured bandwidth-monitored challenge,1993,Legal Services,885
11,71AacBE7a37Ca14,"Vance, Webster and Fox",https://nixon.com/,Canada,Business-focused encompassing definition,1970,Environmental Services,4361
12,D7deEda8d3fbEEE,"Armstrong, Strickland and Fuentes",http://neal.com/,Cocos (Keeling) Islands,Front-line tangible algorithm,1981,Primary / Secondary Education,9981
13,d42Eee15CF007cb,Moses-Patel,https://aguirre-petersen.org/,Ukraine,Cross-group intangible focus group,1986,Computer Games,7696
14,a79Afce3098Aa06,Gallagher Inc,https://whitehead-manning.com/,Saint Helena,Organic upward-trending frame,1970,Biotechnology / Greentech,9807
15,8beFcef120bc776,Stout Inc,http://sellers-gonzalez.biz/,Cayman Islands,Configurable interactive structure,2016,Wireless,3019
16,dA31Ce9df8d9AAb,Curry-Chapman,https://www.hood.com/,Indonesia,Diverse next generation complexity,2020,Individual / Family Services,9818
17,0F97bBeaC67616E,Morrison and Sons,http://www.novak.com/,Austria,Customer-focused intangible secured line,1976,Individual / Family Services,3028
18,03cE7814E9A8665,Colon-David,https://www.knapp.com/,China,Up-sized next generation interface,1970,Business Supplies / Equipment,8672
19,3bc0E22bd675040,"Ortiz, Franco and Morse",http://www.graves.com/,Congo,Stand-alone radical hub,1995,Animation,6867
20,Fb672dcCa4EE0F3,Phillips-Mcconnell,https://www.bowers.net/,Jamaica,Exclusive motivating circuit,1979,Restaurants,8566
21,baC15a026d08Bf1,Miranda Ltd,https://clay.org/,El Salvador,User-friendly fault-tolerant algorithm,1978,Law Enforcement,5900
22,7f0b9305C4AbDFA,Kennedy-Vargas,https://www.vaughan.org/,Malta,Self-enabling asymmetric workforce,1974,Recreational Facilities / Services,8365
23,1a3a6dC1C9e5aCf,Oneill-Carroll,http://www.dillon.com/,Czech Republic,Fundamental 24hour product,1996,Food / Beverages,1007
24,91aDbA1de1880f3,"Campbell, Estes and Pena",https://stuart.biz/,Djibouti,Switchable cohesive capacity,1985,Fishery,6362
25,0cAF3b9d3a5EfCc,Hoover Group,https://www.long.com/,Moldova,Team-oriented system-worthy system engine,2001,Consumer Goods,9013
26,BF2f62CaFf732Aa,Terrell-Obrien,https://www.mcdaniel-ayala.com/,El Salvador,Balanced foreground instruction set,2011,International Trade / Development,4167
27,cfC33BFd78b16F3,"Keller, Keith and Costa",https://riggs-good.info/,Bangladesh,Fundamental well-modulated Local Area Network,2012,Library,127
28,3aA2a6EEfC3eD4E,Newman-Douglas,https://www.conley-sherman.net/,Marshall Islands,Decentralized explicit portal,2006,Music,5128
29,aD366764bA00cE0,Leonard-Zavala,https://park.biz/,Madagascar,Grass-roots background forecast,1982,Textiles,4664
30,3027fff6414b15c,Bradford Ltd,https://www.soto.com/,India,Operative system-worthy frame,1980,Law Practice / Law Firms,4000
31,d8Fa46f57ABD7B4,"Graves, Simmons and Cameron",http://olsen-sandoval.com/,Niger,Object-based uniform alliance,1993,Sports,9312
32,E2c03af8A2Dd0a9,Rubio-Baxter,http://paul.com/,Cayman Islands,Balanced maximized open architecture,2024,Performing Arts,5424
33,42Bff2F4fCc40fb,Schaefer LLC,http://harper-poole.com/,Bolivia,Networked static hardware,2003,Renewables / Environment,9265
34,e0cc4c1546c8Af5,Mathews-Kelley,http://pacheco.com/,Tunisia,Advanced dedicated structure,1985,Venture Capital / VC,2080
35,79e5dEd30e85fA4,Kirk and Sons,https://www.woodard.org/,Portugal,Synergized analyzing approach,1991,Import / Export,4673
36,fcF2f19bB3eb8eE,Briggs Group,https://www.hebert-eaton.com/,Jamaica,Customer-focused grid-enabled orchestration,2020,Civil Engineering,5166
37,aE7AbB125c1B20A,Moran and Sons,http://www.maxwell.com/,Mauritius,Optimized solution-oriented interface,1987,Maritime,9668
38,F0B97dEeFEBB14E,"Cole, Burke and Wilcox",https://short.biz/,Sao Tome and Principe,Upgradable bottom-line alliance,2002,Glass / Ceramics / Concrete,4108
39,fCe8ADEddA9faF6,Quinn-Meza,http://www.schmidt.net/,Isle of Man,Synchronized stable pricing structure,1983,Airlines / Aviation,4566
40,bB2c9EFAfd1D3D9,Frazier-Blake,https://www.sanders.biz/,Benin,Quality-focused background info-mediaries,2014,Furniture,1745
41,72f3Ea201ecF8A5,Hurley-Watson,http://www.hardy.biz/,Monaco,User-friendly responsive hierarchy,1992,International Affairs,8172
42,f0bd6562dc3C1D5,Wang LLC,https://oliver-parrish.biz/,Afghanistan,Fundamental systematic archive,1988,Entertainment / Movie Production,4060
43,cDaaaAad4ee125d,Bolton Inc,http://rhodes.com/,Palau,Front-line optimizing Graphical User Interface,1984,Construction,8966
44,54FfE567810c24e,Sims and Sons,http://www.greene.com/,Uruguay,Profound responsive function,2001,Photography,3438
45,3F2E0FC1a3BAFCa,Mercer Group,http://long.com/,Yemen,Digitized actuating moratorium,1971,Import / Export,2744
46,f99E71C87ee69dC,Shields-Bishop,https://www.herman.com/,Belarus,Universal composite functionalities,1986,Program Development,2923
47,106aaCAeFbDbAA2,Frazier Group,https://www.wall.org/,Djibouti,Adaptive bifurcated solution,2012,Health / Fitness,8375
48,d3bDe6FEd4c1AFa,"Hancock, Myers and Sutton",http://www.fleming-jensen.biz/,Antigua and Barbuda,Decentralized responsive flexibility,2001,Food / Beverages,899
49,EAE1B14A7d0D7bb,Bernard Group,https://morse.net/,Uruguay,Integrated 24hour analyzer,1973,Consumer Electronics,4748
50,AcDf1fCaB0EF772,Irwin-Wilcox,http://www.ingram.com/,Eritrea,Versatile hybrid workforce,2001,Photography,1166
